"LAT","LON","ID_RECI","HAB","INHAB","PAIS","N_MESAS","REC","MUN","BOL","CIU","PROV","DEP","URB","DEN_C"
-14.87161,-64.47997,"1003208306900001",680,13,"Bolivia",4,"Escuela Casarabe","Trinidad",TRUE,NA,"Cercado","Beni","periurbano","23.4921969387999"
-14.83285,-64.44854,"1003208307000001",290,11,"Bolivia",2,"Escuela Iviato","Trinidad",TRUE,NA,"Cercado","Beni","desconocido","desconocido"
-15.611731,-64.374031,"1003208307200001",92,4,"Bolivia",1,"Esc. Monte Cristo","San Andrés",TRUE,NA,"Marbán","Beni","ruralaislado","0.42457777356400001"
-15.39423,-64.32283,"1003208307300001",62,5,"Bolivia",1,"Esc. La Isiga-Persevera","San Andrés",TRUE,NA,"Marbán","Beni","ruralaislado","0.42457777356400001"
-14.35404,-66.99512,"1003208307400001",153,5,"Bolivia",1,"Escuela El Oriente Del Yacuma","San Borja",TRUE,NA,"General José Ballivián","Beni","ruralaislado","3.18206607132"
-12.53514,-66.79783,"1003208307600001",171,5,"Bolivia",1,"Esc. Central Baquety","Reyes",TRUE,NA,"General José Ballivián","Beni","ruralaislado","1.6593201576300001"
-11.76321,-66.76987,"1003208307700001",199,2,"Bolivia",1,"Esc. Buen Destino","Reyes",TRUE,NA,"General José Ballivián","Beni","ruralaislado","10.4182498364999"
-14.05581,-67.50439,"1003208307800001",29,0,"Bolivia",1,"Esc. Soraida","Reyes",TRUE,NA,"General José Ballivián","Beni","ruralaislado","1.1964627620399999"
-12.09472,-64.91856,"1003208307900001",68,4,"Bolivia",1,"Esc. More-Monte Azul","San Joaquín",TRUE,NA,"Mamoré","Beni","ruralaislado","1.00596194615"
-13.82903,-66.71803,"1003208308800001",174,3,"Bolivia",1,"Escuela El Rosario","Santa Rosa",TRUE,NA,"General José Ballivián","Beni","ruralconect","1.69818122595"
-11.00223,-65.9,"1003208309600001",486,3,"Bolivia",3,"U.E. Bolívar","Riberalta",TRUE,NA,"Vaca Diez","Beni","periurbano","5.3291091203000001"
-11.0167,-65.69309,"1003208309700001",323,0,"Bolivia",2,"Escuela 12 de Octubre","Riberalta",TRUE,NA,"Vaca Diez","Beni","periurbano","3.68710723433"
-12.27631,-66.1415,"1003208309800001",105,6,"Bolivia",1,"Escuela Mariposa","Riberalta",TRUE,NA,"Vaca Diez","Beni","ruralaislado","0.34982401031600002"
-11.87361,-66.03656,"1003208309900001",458,0,"Bolivia",2,"Escuela Alto Ivon","Riberalta",TRUE,NA,"Vaca Diez","Beni","ruralaislado","1.12795179558"
-11.5389,-66.4724,"1003208310000001",76,1,"Bolivia",1,"Escuela Santuario","Riberalta",TRUE,NA,"Vaca Diez","Beni","periurbano","1.08821920355"
-11.1185,-65.93813,"1003208310100001",451,0,"Bolivia",2,"U.E. Santa Maria","Riberalta",TRUE,NA,"Vaca Diez","Beni","periurbano","5.6608306176899999E-2"
-12.6354,-65.04883,"1003208310200001",75,2,"Bolivia",1,"Esc. Cooperativa","Exaltación",TRUE,NA,"Yacuma","Beni","ruralconect","0.453595994108"
-12.88492,-66.42942,"1003208310300001",43,0,"Bolivia",1,"Escuela San Juan del Jordan","Exaltación",TRUE,NA,"Yacuma","Beni","ruralaislado","0.85526974902300001"
-13.10789,-65.20205,"1003208310400001",13,0,"Bolivia",1,"Escuela Puerto Santiago","Exaltación",TRUE,NA,"Yacuma","Beni","ruralaislado","0.29584764288900001"
-16.26001,-65.20737,"1003208310500001",105,1,"Bolivia",1,"Santa Rosa del Isiboro","Loreto",TRUE,NA,"Marbán","Beni","ruralaislado","4.2338991877599999E-2"
-15.26368,-65.9744,"1003208310600001",235,11,"Bolivia",1,"Esc. San Jose Del Cabitu","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","3.3523069748799998"
-15.95693,-65.35487,"1003208310800001",164,5,"Bolivia",1,"Esc. San Antonio De Imose","San Ignacio",TRUE,NA,"Moxos","Beni","ruralaislado","0.14129578198500001"
-16.5034,-65.57259,"1003208311000001",151,2,"Bolivia",1,"Esc. Mercedes De Lojojota","San Ignacio",TRUE,NA,"Moxos","Beni","ruralaislado","0.20552638391200001"
-15.63134,-64.08765,"1003208311100001",10,1,"Bolivia",1,"Escuela Tajibote","San Andrés",TRUE,NA,"Marbán","Beni","ruralaislado","0.23947961129100001"
-15.917671,-63.383224,"1003208311200001",108,0,"Bolivia",1,"Escuela Limoncito","San Andrés",TRUE,NA,"Marbán","Beni","ruralconect","1.28647753834"
