"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","CIRCUNSCRIPCION_ESPECIAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","APG","CPEM_B","CIDOB","BIA_YUQUI","CONAMAQ","OICH","ORCAWETA","YAMINAWA","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
"2366","PRESIDENTE","67","España","30","Andalucia","0","0","8","Granada","1","Granada","4393","Granada","26105","Centro Cívico Zaidín","1","220",9,139,4,1,14,"0","0","0","0","0","0","0","0","167","0","1","168","167","168",0,"110673043932610501"
"2367","PRESIDENTE","67","España","30","Andalucia","0","0","8","Granada","1","Granada","4393","Granada","26105","Centro Cívico Zaidín","2","220",6,127,2,2,22,"0","0","0","0","0","0","0","0","159","1","5","165","159","165",0,"110673043932610502"
"2372","PRESIDENTE","67","España","31","Islas Baleares","0","0","7","Palma de Mallorca","1","Palma de Mallorca","3774","Palma de Mallorca","26117","Centro Educativo Infantil y Primaria CEIP Aina Moll i Marques","3","220",36,76,2,2,44,"0","0","0","0","0","0","0","0","160","0","8","168","160","168",0,"110673137742611703"
"2373","PRESIDENTE","67","España","31","Islas Baleares","0","0","7","Palma de Mallorca","1","Palma de Mallorca","3774","Palma de Mallorca","26117","Centro Educativo Infantil y Primaria CEIP Aina Moll i Marques","4","220",25,69,5,0,51,"0","0","0","0","0","0","0","0","150","0","5","155","150","155",0,"110673137742611704"
"2374","PRESIDENTE","67","España","31","Islas Baleares","0","0","7","Palma de Mallorca","1","Palma de Mallorca","3774","Palma de Mallorca","26117","Centro Educativo Infantil y Primaria CEIP Aina Moll i Marques","5","220",33,63,5,2,45,"0","0","0","0","0","0","0","0","148","0","8","156","148","156",0,"110673137742611705"
"2380","PRESIDENTE","74","Francia","59","Ile de France","0","0","1","París","1","París","3802","París","25127","Alcaldia del distrito n°16 (Mairie du 16e arrondissement)","1","220",39,32,0,1,78,"0","0","0","0","0","0","0","0","150","2","8","160","150","160",0,"110745938022512701"
"2381","PRESIDENTE","74","Francia","59","Ile de France","0","0","1","París","1","París","3802","París","25127","Alcaldia del distrito n°16 (Mairie du 16e arrondissement)","2","220",54,46,1,1,68,"0","0","0","0","0","0","0","0","170","1","5","176","170","176",0,"110745938022512702"
"2382","PRESIDENTE","74","Francia","59","Ile de France","0","0","1","París","1","París","3802","París","25127","Alcaldia del distrito n°16 (Mairie du 16e arrondissement)","3","220",36,20,1,0,99,"0","0","0","0","0","0","0","0","156","1","1","158","156","158",0,"110745938022512703"
"2393","PRESIDENTE","124","Italia","56","Lazio","0","0","1","Roma","1","Roma","3799","Roma","25124","Iglesia Santa Maria Adoloratta","1","220",34,25,5,1,80,"0","0","0","0","0","0","0","0","145","0","6","151","145","151",0,"111245637992512401"
"2394","PRESIDENTE","124","Italia","56","Lazio","0","0","1","Roma","1","Roma","3799","Roma","25124","Iglesia Santa Maria Adoloratta","2","220",33,28,1,0,80,"0","0","0","0","0","0","0","0","142","0","3","145","142","145",0,"111245637992512402"
"2395","PRESIDENTE","124","Italia","56","Lazio","0","0","1","Roma","1","Roma","3799","Roma","25124","Iglesia Santa Maria Adoloratta","3","172",20,24,2,1,63,"0","0","0","0","0","0","0","0","110","0","4","114","110","114",0,"111245637992512403"
"2410","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","1","220",64,15,0,0,54,"0","0","0","0","0","0","0","0","133","1","4","138","133","138",0,"111245738012512601"
"2411","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","2","220",59,16,1,0,65,"0","0","0","0","0","0","0","0","141","0","5","146","141","146",0,"111245738012512602"
"2412","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","3","220",45,44,1,0,61,"0","0","0","0","0","0","0","0","151","0","4","155","151","155",0,"111245738012512603"
"2413","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","4","220",67,23,2,0,57,"0","0","0","0","0","0","0","0","149","0","4","153","149","153",0,"111245738012512604"
"2414","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","5","220",50,29,4,0,71,"0","0","0","0","0","0","0","0","154","0","5","159","154","159",0,"111245738012512605"
"2415","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","6","220",39,29,2,0,55,"0","0","0","0","0","0","0","0","125","0","9","134","125","134",0,"111245738012512606"
"2416","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","7","220",75,17,1,0,60,"0","0","0","0","0","0","0","0","153","0","3","156","153","156",0,"111245738012512607"
"2417","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","8","220",72,25,0,0,54,"0","0","0","0","0","0","0","0","151","0","6","157","151","157",0,"111245738012512608"
"2418","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","9","220",66,18,0,0,50,"0","0","0","0","0","0","0","0","134","0","6","140","134","140",0,"111245738012512609"
"2419","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","10","220",53,21,1,0,58,"0","0","0","0","0","0","0","0","133","0","7","140","133","140",0,"111245738012512610"
"2420","PRESIDENTE","124","Italia","57","Lombardía","0","0","3","Milán","1","Milán","3801","Milán","25126","Liceo Linguistico Manzoni","11","134",28,23,1,0,37,"0","0","0","0","0","0","0","0","89","0","5","94","89","94",0,"111245738012512611"
"2432","PRESIDENTE","182","Perú","47","Tacna","0","0","4","Tacna","1","Tacna","3790","Tacna","25115","I. E. 42010 Santisima Niña Maria","1","221",7,71,2,2,24,"0","0","0","0","0","0","0","0","106","2","7","115","106","115",0,"111824737902511501"
"2434","PRESIDENTE","194","Rusia","72","Distr. Federal","0","0","1","Moscú","1","Moscú","3815","Moscú","25140","Embajada","1","151",12,19,0,0,36,"0","0","0","0","0","0","0","0","67","0","1","68","67","68",0,"111947238152514001"
"2440","PRESIDENTE","213","Suiza","77","Ginebra","0","0","1","Ginebra","1","Ginebra","3820","Ginebra","26120","Centro Solidario Paquis ","4","220",88,20,1,0,49,"0","0","0","0","0","0","0","0","158","0","2","160","158","160",0,"112137738202612004"
