CODIGO_MESA,CANDIDATURA,ID_PAIS,PAIS,ID_DEPARTAMENTO,DEPARTAMENTO,CIRCUNSCRIPCION_UNINOMINAL,CIRCUNSCRIPCION_ESPECIAL,ID_PROVINCIA,PROVINCIA,SECCION,MUNICIPIO,ID_LOCALIDAD,LOCALIDAD,ID_RECINTO,RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,CREEMOS,ADN,MAS_IPSP,FPV,PAN_BOL,LIBRE_21,CC,JUNTOS,APG,CPEM_B,CIDOB,BIA_YUQUI,CONAMAQ,OICH,ORCAWETA,YAMINAWA,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
1170,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25189,Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla,6,94,2,0,55,2,1,0,3,0,0,0,0,0,0,0,0,0,63,0,0,63,63,63
1171,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25190,Escuela de Educacion Media N° 4  De 19  Homero Manzi,1,220,9,0,102,0,0,0,22,0,0,0,0,0,0,0,0,0,133,0,2,135,133,135
1172,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25190,Escuela de Educacion Media N° 4  De 19  Homero Manzi,2,220,2,0,104,2,0,0,21,0,0,0,0,0,0,0,0,0,129,0,0,129,129,129
1173,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25190,Escuela de Educacion Media N° 4  De 19  Homero Manzi,3,220,4,0,97,0,1,0,21,0,0,0,0,0,0,0,0,0,123,0,7,130,123,130
1174,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25190,Escuela de Educacion Media N° 4  De 19  Homero Manzi,4,220,7,0,101,3,1,0,17,0,0,0,0,0,0,0,0,0,129,3,5,137,129,137
1175,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25190,Escuela de Educacion Media N° 4  De 19  Homero Manzi,5,220,5,0,114,1,3,0,15,0,0,0,0,0,0,0,0,0,138,0,1,139,138,139
1176,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25190,Escuela de Educacion Media N° 4  De 19  Homero Manzi,6,220,3,0,124,0,1,0,11,0,0,0,0,0,0,0,0,0,139,1,2,142,139,142
1177,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25190,Escuela de Educacion Media N° 4  De 19  Homero Manzi,7,220,9,0,112,2,0,0,16,0,0,0,0,0,0,0,0,0,139,2,6,147,139,147
1178,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25190,Escuela de Educacion Media N° 4  De 19  Homero Manzi,8,152,4,0,70,3,4,0,18,0,0,0,0,0,0,0,0,0,99,1,5,105,99,105
1186,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,8,220,5,0,146,1,1,0,9,0,0,0,0,0,0,0,0,0,162,1,3,166,162,166
